KodeKec;Nama;JumlahDesa;Desa_id;Desa_en;Desa01;Desa02;Desa03;Desa04;Desa05;Desa06;Desa07;Desa08;Desa09;Desa10;Desa11;Desa12;Desa13;Desa14;Desa15;KECAMATAN;@Sekat;@Grafik1;@Grafik2;U301_id;U302_id;U303_id;U301_en;U302_en;U303_en;T611K2B1;T611K2B2;T621K2B1;T621K2B2;T621K2B3;T621K2B4;T631K2B1;T631K2B2;T631K2B3
72;Sindangresmi;9;Desa;Village;Pasirloa;Bojongmanik;Campakawarna;Ciodeng;Pasirtenjo;Sindangresmi;Pasirlancar;Pasirdurung;Kadumalati;;;;;;;SINDANGRESMI;D:\KCDA\2025\072\Bab6.PNG;D:\KCDA\2025\072\G061.png;D:\KCDA\2025\072\G062.png;Menurut data terakhir, terdapat 6 jenis industri pengolahan di Kecamatan Sindangresmi, yaitu industri makanan, industri minuman, industri kulit, dan alas kaki, industri kayu, industri alat angkutan lainnya, dan reparasi dan industri mesin, dengan jenis kegiatan industri utama industri makanan yang tercatat sejumlah 62 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Sindangresmi.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Sindangresmi sudah beroperasi/tersedia layanankantor pos/pos pembantu/rumah pos,pos keliling, dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Sindangresmi adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 6 type of manufacturing industry for micro-small category in  Sindangresmi District, which are food manufacturing, beverage manufacturing, leather and footwear manufacturing, manufacture of wood and the like, other transport manufacturing, dan machinery and repair manufacturing, with the largest number of manufacturing industries is food manufacturing recorded as 62 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Sindangresmi District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Sindangresmi District  there are already operating/available service of post office/branch post office/postal station,mobile/roaming post, and private courier/expedition services company, at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Sindangresmi District is the 5G/4G/LTE signal. ;–;–;9;–;–;–;–;8;8
80;Picung;9;Desa;Village;Ciherang;Kolelet;Cililitan;Kadupandak;Bungurcopong;Pasirsedang;Pasirpanjang;Kadubera;Ganggaeng;;;;;;;PICUNG;D:\KCDA\2025\080\Bab6.PNG;D:\KCDA\2025\080\G061.png;D:\KCDA\2025\080\G062.png;Menurut data terakhir, terdapat 12 jenis industri pengolahan di Kecamatan Picung, yaitu industri makanan, industri minuman, industri tembakau, industri pakaian jadi, industri kayu, industri pencetakan, industri galian non logam, industri logam non mesin, industri alat angkutan lainnya, industri kerajinan, reparasi dan industri mesin, dan industri pengolahan lainnya, dengan jenis kegiatan industri utama industri makanan yang tercatat sejumlah 62 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Picung.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Picung sudah beroperasi/tersedia layanankantor pos/pos pembantu/rumah pos,pos keliling, dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Picung adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 12 type of manufacturing industry for micro-small category in  Picung District, which are food manufacturing, beverage manufacturing, tobacco manufacturing, apparel manufacturing, manufacture of wood and the like, printing manufacturing, non-metallic excavated goods manufacturing, non-machinery metal manufacturing, other transport manufacturing, crafts and other manufacturing, machinery and repair manufacturing, dan other manufacturing, with the largest number of manufacturing industries is food manufacturing recorded as 62 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Picung District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Picung District  there are already operating/available service of post office/branch post office/postal station,mobile/roaming post, and private courier/expedition services company, at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Picung District is the 5G/4G/LTE signal. ;–;–;9;–;–;–;1;1;1
90;Bojong;8;Desa;Village;Geredug;Mekarsari;Cijakan;Citumenggung;Cahayamekar;Bojong;Banyumas;Manggungjaya;;;;;;;;BOJONG;D:\KCDA\2025\090\Bab6.PNG;D:\KCDA\2025\090\G061.png;D:\KCDA\2025\090\G062.png;Menurut data terakhir, terdapat 8 jenis industri pengolahan di Kecamatan Bojong, yaitu industri makanan, industri minuman, industri kayu, industri galian non logam, industri logam non mesin, industri alat angkutan lainnya, reparasi dan industri mesin, dan industri pengolahan lainnya, dengan jenis kegiatan industri utama industri alat angkutan lainnya yang tercatat sejumlah 18 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Bojong.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Bojong sudah beroperasi/tersedia layananpos keliling, dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Bojong adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 8 type of manufacturing industry for micro-small category in  Bojong District, which are food manufacturing, beverage manufacturing, manufacture of wood and the like, non-metallic excavated goods manufacturing, non-machinery metal manufacturing, other transport manufacturing, machinery and repair manufacturing, dan other manufacturing, with the largest number of manufacturing industries is other transport manufacturing recorded as 18 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Bojong District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Bojong District  there are already operating/available service of mobile/roaming post, and private courier/expedition services company, at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Bojong District is the 5G/4G/LTE signal. ;–;–;8;–;–;–;–;–;2
100;Saketi;14;Desa;Village;Sukalangu;Langensari;Majau;Medalsari;Sodong;Mekarwangi;Ciandur;Saketi;Kadudampit;Girijaya;Wanagiri;Parigi;Talagasari;Sindanghayu;;SAKETI;D:\KCDA\2025\100\Bab6.PNG;D:\KCDA\2025\100\G061.png;D:\KCDA\2025\100\G062.png;Menurut data terakhir, terdapat 12 jenis industri pengolahan di Kecamatan Saketi, yaitu industri makanan, industri minuman, industri tekstil, industri pakaian jadi, industri kayu, industri pencetakan, industri galian non logam, industri logam non mesin, industri alat angkutan lainnya, industri kerajinan, reparasi dan industri mesin, dan industri pengolahan lainnya, dengan jenis kegiatan industri utama industri kayu yang tercatat sejumlah 18 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Saketi.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Saketi sudah beroperasi/tersedia layanankantor pos/pos pembantu/rumah pos,pos keliling, dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Saketi adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 12 type of manufacturing industry for micro-small category in  Saketi District, which are food manufacturing, beverage manufacturing, textile manufacturing, apparel manufacturing, manufacture of wood and the like, printing manufacturing, non-metallic excavated goods manufacturing, non-machinery metal manufacturing, other transport manufacturing, crafts and other manufacturing, machinery and repair manufacturing, dan other manufacturing, with the largest number of manufacturing industries is manufacture of wood and the like recorded as 18 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Saketi District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Saketi District  there are already operating/available service of post office/branch post office/postal station,mobile/roaming post, and private courier/expedition services company, at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Saketi District is the 5G/4G/LTE signal. ;–;–;14;–;–;–;3;13;1
101;Cisata;9;Desa;Village;Kondangjaya;Kubangkondang;Cisereh;Cibarani;Rawasari;Pasireurih;Kaduronyok;Ciherangjaya;Palembang;;;;;;;CISATA;D:\KCDA\2025\101\Bab6.PNG;D:\KCDA\2025\101\G061.png;D:\KCDA\2025\101\G062.png;Menurut data terakhir, terdapat 6 jenis industri pengolahan di Kecamatan Cisata, yaitu industri makanan, industri minuman, industri pakaian jadi, industri kulit, dan alas kaki, industri kayu, dan industri alat angkutan lainnya, dengan jenis kegiatan industri utama industri kayu yang tercatat sejumlah 95 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Cisata.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Cisata sudah beroperasi/tersedia layanan dan pos keliling.,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Cisata adalah sinyal 3G/H/H+/EVDO. ;According to the latest data, there are 6 type of manufacturing industry for micro-small category in  Cisata District, which are food manufacturing, beverage manufacturing, apparel manufacturing, leather and footwear manufacturing, manufacture of wood and the like, dan other transport manufacturing, with the largest number of manufacturing industries is manufacture of wood and the like recorded as 95 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Cisata District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Cisata District  there is already operating/available service only for  and mobile/roaming post., at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Cisata District is the 3G/H/H+/EVDO signal. ;–;–;9;–;–;–;1;7;–
110;Pagelaran;13;Desa;Village;Tegalpapak;Margagiri;Bama;Pagelaran;Sukadame;Bulagor;Surakarta;Harapankarya;Montor;Kartasana;Senangsari;Sindanglaya;Margasana;;;PAGELARAN;D:\KCDA\2025\110\Bab6.PNG;D:\KCDA\2025\110\G061.png;D:\KCDA\2025\110\G062.png;Menurut data terakhir, terdapat 9 jenis industri pengolahan di Kecamatan Pagelaran, yaitu industri makanan, industri minuman, industri pakaian jadi, industri kulit, dan alas kaki, industri kayu, industri logam non mesin, industri alat angkutan lainnya, industri kerajinan, dan reparasi dan industri mesin, dengan jenis kegiatan industri utama industri makanan yang tercatat sejumlah 1040 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sampai tahun 2024 sudah tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Pagelaran dengan trayek tetap.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Pagelaran sudah beroperasi/tersedia layananpos keliling, dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Pagelaran adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 9 type of manufacturing industry for micro-small category in  Pagelaran District, which are food manufacturing, beverage manufacturing, apparel manufacturing, leather and footwear manufacturing, manufacture of wood and the like, non-machinery metal manufacturing, other transport manufacturing, crafts and other manufacturing, dan machinery and repair manufacturing, with the largest number of manufacturing industries is food manufacturing recorded as 1040 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Until the year 2024, public transportation facilities have been available in most of villages in the Pagelaran District  with some given routes.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Pagelaran District  there are already operating/available service of mobile/roaming post, and private courier/expedition services company, at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Pagelaran District is the 5G/4G/LTE signal. ;–;–;13;–;–;–;–;–;1
111;Patia;10;Desa;Village;Turus;Pasirgadung;Patia;Babakankeusik;Cimoyan;Idaman;Ciawi;Surianeun;Rahayu;Simpangtiga;;;;;;PATIA;D:\KCDA\2025\111\Bab6.PNG;D:\KCDA\2025\111\G061.png;D:\KCDA\2025\111\G062.png;Menurut data terakhir, terdapat 9 jenis industri pengolahan di Kecamatan Patia, yaitu industri makanan, industri minuman, industri pakaian jadi, industri kayu, industri pencetakan, industri galian non logam, industri logam non mesin, industri alat angkutan lainnya, dan reparasi dan industri mesin, dengan jenis kegiatan industri utama industri kayu yang tercatat sejumlah 40 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Patia.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Patia sudah beroperasi/tersedia layanan dan pos keliling.,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Patia adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 9 type of manufacturing industry for micro-small category in  Patia District, which are food manufacturing, beverage manufacturing, apparel manufacturing, manufacture of wood and the like, printing manufacturing, non-metallic excavated goods manufacturing, non-machinery metal manufacturing, other transport manufacturing, dan machinery and repair manufacturing, with the largest number of manufacturing industries is manufacture of wood and the like recorded as 40 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Patia District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Patia District  there is already operating/available service only for  and mobile/roaming post., at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Patia District is the 5G/4G/LTE signal. ;–;–;10;–;–;–;–;1;–
112;Sukaresmi;10;Desa;Village;Seuseupan;Karyasari;Pasirkadu;Perdana;Sukaresmi;Kubangkampil;Sidamukti;Cibungur;Weru;Cikuya;;;;;;SUKARESMI;D:\KCDA\2025\112\Bab6.PNG;D:\KCDA\2025\112\G061.png;D:\KCDA\2025\112\G062.png;Menurut data terakhir, terdapat 7 jenis industri pengolahan di Kecamatan Sukaresmi, yaitu industri makanan, industri minuman, industri pakaian jadi, industri kayu, industri alat angkutan lainnya, industri furnitur, dan reparasi dan industri mesin, dengan jenis kegiatan industri utama industri minuman yang tercatat sejumlah 17 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Sukaresmi.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Sukaresmi sudah beroperasi/tersedia layanan dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Sukaresmi adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 7 type of manufacturing industry for micro-small category in  Sukaresmi District, which are food manufacturing, beverage manufacturing, apparel manufacturing, manufacture of wood and the like, other transport manufacturing, furniture manufacturing, dan machinery and repair manufacturing, with the largest number of manufacturing industries is beverage manufacturing recorded as 17 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Sukaresmi District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Sukaresmi District  there is already operating/available service only for  and private courier/expedition services company, at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Sukaresmi District is the 5G/4G/LTE signal. ;–;–;10;–;–;–;–;–;1
120;Labuan;9;Desa;Village;Cigondang;Sukamaju;Rancateureup;Kalanganyar;Labuan;Teluk;Banyumekar;Banyubiru;Caringin;;;;;;;LABUAN;D:\KCDA\2025\120\Bab6.PNG;D:\KCDA\2025\120\G061.png;D:\KCDA\2025\120\G062.png;Menurut data terakhir, terdapat 11 jenis industri pengolahan di Kecamatan Labuan, yaitu industri makanan, industri minuman, industri pakaian jadi, industri kayu, industri kertas, industri pencetakan, industri logam non mesin, industri alat angkutan lainnya, industri furnitur, industri kerajinan, dan reparasi dan industri mesin, dengan jenis kegiatan industri utama industri makanan yang tercatat sejumlah 204 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Labuan.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Labuan sudah beroperasi/tersedia layanankantor pos/pos pembantu/rumah pos,pos keliling, dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Labuan adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 11 type of manufacturing industry for micro-small category in  Labuan District, which are food manufacturing, beverage manufacturing, apparel manufacturing, manufacture of wood and the like, paper manufacturing, printing manufacturing, non-machinery metal manufacturing, other transport manufacturing, furniture manufacturing, crafts and other manufacturing, dan machinery and repair manufacturing, with the largest number of manufacturing industries is food manufacturing recorded as 204 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Labuan District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Labuan District  there are already operating/available service of post office/branch post office/postal station,mobile/roaming post, and private courier/expedition services company, at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Labuan District is the 5G/4G/LTE signal. ;1;1;9;–;–;–;2;3;3
121;Carita;10;Desa;Village;Pejamben;Banjarmasin;Tembong;Sindanglaut;Carita;Sukajadi;Sukarame;Sukanagara;Kawoyang;Cinoyong;;;;;;CARITA;D:\KCDA\2025\121\Bab6.PNG;D:\KCDA\2025\121\G061.png;D:\KCDA\2025\121\G062.png;Menurut data terakhir, terdapat 11 jenis industri pengolahan di Kecamatan Carita, yaitu industri makanan, industri minuman, industri tembakau, industri pakaian jadi, industri kayu, industri pencetakan, industri logam non mesin, industri alat angkutan lainnya, industri furnitur, industri kerajinan, dan reparasi dan industri mesin, dengan jenis kegiatan industri utama industri makanan yang tercatat sejumlah 318 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Carita.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Carita sudah beroperasi/tersedia layanankantor pos/pos pembantu/rumah pos,pos keliling, dan perusahaan/agen jasa ekspedisi swasta,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Carita adalah sinyal 2,5G/E/GPRS. ;According to the latest data, there are 11 type of manufacturing industry for micro-small category in  Carita District, which are food manufacturing, beverage manufacturing, tobacco manufacturing, apparel manufacturing, manufacture of wood and the like, printing manufacturing, non-machinery metal manufacturing, other transport manufacturing, furniture manufacturing, crafts and other manufacturing, dan machinery and repair manufacturing, with the largest number of manufacturing industries is food manufacturing recorded as 318 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Carita District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Carita District  there are already operating/available service of post office/branch post office/postal station,mobile/roaming post, and private courier/expedition services company, at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Carita District is the 2,5G/E/GPRS signal. ;3;3;10;–;–;–;–;6;3
130;Jiput;13;Desa;Village;Banyuresmi;Salapraya;Pamarayan;Sampangbitung;Jiput;Sukacai;Tenjolahang;Babadsari;Janaka;Sukamanah;Sikulan;Citaman;Jayamekar;;;JIPUT;D:\KCDA\2025\130\Bab6.PNG;D:\KCDA\2025\130\G061.png;D:\KCDA\2025\130\G062.png;Menurut data terakhir, terdapat 7 jenis industri pengolahan di Kecamatan Jiput, yaitu industri makanan, industri minuman, industri pakaian jadi, industri kayu, industri logam non mesin, industri alat angkutan lainnya, dan reparasi dan industri mesin, dengan jenis kegiatan industri utama industri makanan yang tercatat sejumlah 506 unit.;Sarana transportasi memegang peranan penting dalam perputaran ekonomi suatu wilayah. Keberadaan transportasi umum akan membawa peningkatan mobilitas manusia, mobilitas faktor-faktor produksi, dan mobilitas hasil olahan yang disebarkan atau dipasarkan. Berkenaan dengan hal tersebut,  sayang sekali, sampai tahun 2024 belum tersedia sarana transportasi umum pada sebagian besar desa di Kecamatan Jiput.;Selain sarana transportasi, peran sarana komunikasi dalam mengerakkan roda perekonomian juga tidak dapat dikesampingkan. Berdasarkan data terakhir, untuk Kecamatan Jiput sudah beroperasi/tersedia layanan dan pos keliling.,  setidaknya di salah satu desa  Masih merujuk pada data terakhir, jenis sinyal internet telepon seluler yang terbanyak dinikmati oleh sebagian besar masyarakat desa di Kecamatan Jiput adalah sinyal 5G/4G/LTE. ;According to the latest data, there are 7 type of manufacturing industry for micro-small category in  Jiput District, which are food manufacturing, beverage manufacturing, apparel manufacturing, manufacture of wood and the like, non-machinery metal manufacturing, other transport manufacturing, dan machinery and repair manufacturing, with the largest number of manufacturing industries is food manufacturing recorded as 506 units.;Transportation infrastructure plays a crucial role in the economic development of a region. The presence of public transportation enhances human mobility, the movement of production factors, and the distribution or marketing of processed products. In this regard,  Unfortunately, by the year 2024, public transportation facilities are not yet available in most of village in the Jiput District.;In addition to transportation infrastructure, the role of communication infrastructure in driving the wheels of the economy cannot be overlooked. Based on the latest data, for the Jiput District  there is already operating/available service only for  and mobile/roaming post., at least in one village Still referring to the latest data, the type of mobile phone internet signal enjoyed by most village people in Jiput District is the 5G/4G/LTE signal. ;–;–;13;–;–;–;–;11;1
